Symbol,Asset class,Type,Region,Revenue,Earnings,Earnings_Ratio,Total_Holding_Percent,maxAge_x,priceHint,previousClose,open,dayLow,dayHigh,regularMarketPreviousClose,regularMarketOpen,regularMarketDayLow,regularMarketDayHigh,trailingPE,volume,regularMarketVolume,averageVolume,averageVolume10days,averageDailyVolume10Day,bid,ask,bidSize,askSize,yield,totalAssets,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,twoHundredDayAverage,trailingAnnualDividendRate,trailingAnnualDividendYield,navPrice,currency,fromCurrency,toCurrency,lastMarket,coinMarketCapLink,algorithm,tradeable,maxAge_y
PDC.TO,Equity,Dividend,CA,21980065446.327995,4692372417.684001,21.348309581434442,2.3935640159999996,1,2,31.01,31.05,31.0,31.18,31.01,31.05,31.0,31.18,11.247179,11797,11797,10844,12570,12570,31.19,31.2,0.0,0.0,0.0494,740399296.0,26.71,31.75,30.7548,29.9075,,,31.0421,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
DVYA,Equity,Dividend,Global,11554680406.689001,2423530785.7489996,20.97445104882363,1.2030471919999997,1,2,36.7199,36.55,36.48,36.69,36.7199,36.55,36.48,36.69,6.148575,2292,2292,3519,3310,3310,36.58,36.7,800.0,900.0,0.0638,40379900.0,30.46,38.65,36.6504,35.0451,,,36.83417,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
IITE.TO,Equity,Responsible Investing,Global,12759532212.726002,2670382731.8754997,20.92853160566603,0.5854962039999999,1,2,21.16,20.76,20.76,20.76,21.16,20.76,20.76,20.76,15.489773,100,100,58,10,10,21.23,21.31,,,0.065,3148027.0,18.17,20.76,20.5134,19.77165,,,21.1371,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
ESGC.TO,Equity,Responsible Investing,CA,11978193357.298998,2495252748.1559997,20.831628558037092,1.7674199959999997,1,2,25.7,26.0,26.0,26.0,25.7,26.0,26.0,26.0,13.228999,1300,1300,2007,1100,1100,26.08,26.1,,,0.0332,73053912.0,21.95,26.0,25.102,24.2814,,,25.7032,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
VPU,Equity,Utilities,US,12382311757.632,2162386017.161,17.463508103227852,2.1635711800000004,1,2,151.05,151.76,151.52,152.56,151.05,151.76,151.52,152.56,21.725983,133767,133767,169421,178900,178900,152.44,152.47,1400.0,800.0,0.032899998,6949091328.0,118.81,158.07,152.3974,139.1659,4.349,0.02879179,150.98,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
IIAE.TO,Equity,Responsible Investing,Global,510118387308.9952,80608766356.53851,15.801972318969003,1.0333902200000005,1,2,24.11,24.09,24.09,24.09,24.11,24.09,24.09,24.09,,180,180,17,28,28,24.07,24.39,,,0.0231,14268540.0,20.1,24.09,23.197,21.88825,,,24.0954,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
TLV.TO,Equity,Low Volatility,US,5147337336.047502,805892042.3608,15.656483920667657,0.9129031880000004,1,2,30.45,30.61,30.61,30.62,30.45,30.61,30.61,30.62,16.335533,2449,2449,2703,650,650,30.62,30.64,0.0,0.0,0.0375,81978048.0,25.46,30.62,29.6704,28.65595,,,30.45,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
MILN,Equity,Thematic,US,55052116402.7636,8341133419.5675,15.151340156558954,1.2961872039999998,1,2,38.88,38.92,38.92,39.5,38.88,38.92,38.92,39.5,34.407124,5954,5954,8216,7930,7930,39.46,39.6,2000.0,2000.0,0.0034,116650352.0,28.45,39.715,38.31986,35.72998,,,38.83,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
CWW.TO,Equity,Water,Global,2641846257.275901,389533348.3532001,14.744739489680276,1.9368742080000003,1,2,57.78,57.82,57.82,58.61,57.78,57.82,57.82,58.61,28.744532,2127,2127,2487,1440,1440,58.54,59.0,0.0,0.0,0.0117999995,330357184.0,44.58,59.61,56.9996,52.43245,,,57.62641,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
XMD.TO,Equity,Small-mid cap,CA,2719434909.8293953,341912372.9229941,12.572919899172879,0.9310047919999999,1,2,35.92,35.96,35.96,36.26,35.92,35.96,35.96,36.26,11.943167,1644,1644,8540,3310,3310,36.27,36.32,0.0,0.0,0.0183,192842944.0,28.66,36.26,34.5554,32.28485,0.487,0.013557907,35.94239,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
VAW,Equity,Materials,US,12146830387.042303,1434105912.8681,11.806420828909738,1.9080737900000002,1,2,198.6,198.62,198.62,203.11,198.6,198.62,198.62,203.11,15.864127,41542,41542,36534,40980,40980,202.91,202.96,900.0,900.0,0.016900001,4024808448.0,162.48,205.99,197.6542,188.0261,,,198.6,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
TOLZ,Equity,Infrastructure,Global,9805005548.8703,1149961378.7296999,11.728309310974277,1.3792,1,2,46.6218,46.59,46.6101,46.8319,46.6218,46.59,46.6101,46.8319,,24870,24870,25804,9580,9580,46.78,46.89,1100.0,1400.0,0.0395,125016360.0,39.44,47.66,46.0578,44.53355,,,46.6644,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
ETHI.TO,Equity,Responsible investing,Global,1614100293439.8086,183034761224.85788,11.339739046499556,1.313433992,1,2,53.54,53.49,53.49,53.9,53.54,53.49,53.49,53.9,26.807783,40,40,2184,1090,1090,53.89,54.04,0.0,0.0,0.0095,108614800.0,39.76,53.9,51.7792,48.2385,,,53.63,CAD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
ESGD,Equity,Responsible investing,Global,574124202691.7125,64898061124.532,11.303836490478055,0.5735333939999996,1,2,81.21,81.07,80.9,81.63,81.21,81.07,80.9,81.63,15.941008,220940,220940,272875,246560,246560,81.59,87.46,200.0,200.0,0.030299999,7987552768.0,65.735,82.4,80.2522,75.73885,0.0,0.0,81.03743,USD,,,,,,False,No fundamentals data found for any of the summaryTypes=calendarEvents
